known,known_for_real,prediction,label,accuracy,ood,type1_ood_error,moving_avg
False,False,0,29,-1.0,1.0,-1.0,-1.0
False,False,0,0,-1.0,1.0,-1.0,-1.0
False,False,2,11,-1.0,1.0,-1.0,-1.0
False,False,1,1,-1.0,1.0,-1.0,-1.0
False,False,4,86,-1.0,1.0,-1.0,-1.0
False,False,4,90,-1.0,1.0,-1.0,-1.0
False,False,2,28,-1.0,1.0,-1.0,-1.0
False,False,5,23,-1.0,1.0,-1.0,-1.0
True,False,1,31,-1.0,0.9,-1.0,-1.0
False,False,5,39,-1.0,0.9090909090909091,-1.0,-1.0
False,False,8,96,-1.0,0.9166666666666666,-1.0,-1.0
False,False,10,82,-1.0,0.9230769230769231,-1.0,-1.0
False,False,12,17,-1.0,0.9285714285714286,-1.0,-1.0
True,False,8,71,-1.0,0.8666666666666667,-1.0,-1.0
True,True,10,39,1.0,0.8666666666666667,0.0,1.0
False,False,12,8,1.0,0.875,0.0,1.0
False,False,9,97,1.0,0.8823529411764706,0.0,1.0
True,False,12,80,1.0,0.8333333333333334,0.0,1.0
True,True,8,71,0.5,0.8333333333333334,0.0,0.5
True,False,17,74,0.5,0.7894736842105263,0.0,0.5
True,False,11,59,0.5,0.75,0.0,0.5
False,False,10,70,0.5,0.7619047619047619,0.0,0.5
False,False,9,87,0.5,0.7727272727272727,0.0,0.5
False,True,19,59,0.6666666666666666,0.7727272727272727,0.3333333333333333,0.6666666666666666
False,False,10,84,0.6666666666666666,0.782608695652174,0.3333333333333333,0.6666666666666666
True,False,17,64,0.6666666666666666,0.75,0.3333333333333333,0.6666666666666666
True,False,19,52,0.6666666666666666,0.72,0.3333333333333333,0.6666666666666666
False,False,1,42,0.6666666666666666,0.7307692307692307,0.3333333333333333,0.6666666666666666
True,True,23,64,0.75,0.7307692307692307,0.25,0.75
True,True,15,8,0.8,0.7307692307692307,0.2,0.8
True,True,13,17,0.8333333333333334,0.7307692307692307,0.16666666666666666,0.8333333333333334
True,False,24,47,0.8333333333333334,0.7037037037037037,0.16666666666666666,0.8333333333333334
False,False,15,65,0.8333333333333334,0.7142857142857143,0.16666666666666666,0.8333333333333334
True,False,9,21,0.8333333333333334,0.6896551724137931,0.16666666666666666,0.8333333333333334
False,False,26,22,0.8333333333333334,0.7,0.16666666666666666,0.8333333333333334
False,False,10,81,0.8333333333333334,0.7096774193548387,0.16666666666666666,0.8333333333333334
False,True,10,11,0.7142857142857143,0.7096774193548387,0.2857142857142857,0.7142857142857143
True,False,23,24,0.7142857142857143,0.6875,0.2857142857142857,0.7142857142857143
False,True,17,84,0.625,0.6875,0.375,0.625
True,False,18,78,0.625,0.6666666666666666,0.375,0.625
True,False,31,45,0.625,0.6470588235294118,0.375,0.625
True,False,8,49,0.625,0.6285714285714286,0.375,0.625
True,True,17,97,0.5555555555555556,0.6285714285714286,0.3333333333333333,0.5555555555555556
True,False,26,56,0.5555555555555556,0.6111111111111112,0.3333333333333333,0.5555555555555556
False,False,19,76,0.5555555555555556,0.6216216216216216,0.3333333333333333,0.5555555555555556
True,True,3,11,0.6,0.6216216216216216,0.3,0.6
False,True,15,90,0.5454545454545454,0.6216216216216216,0.36363636363636365,0.5454545454545454
False,False,6,89,0.5454545454545454,0.631578947368421,0.36363636363636365,0.5454545454545454
True,True,17,78,0.5,0.631578947368421,0.3333333333333333,0.5
True,False,16,73,0.5,0.6153846153846154,0.3333333333333333,0.5
True,False,12,14,0.5,0.6,0.3333333333333333,0.5
True,True,14,87,0.46153846153846156,0.6,0.3076923076923077,0.46153846153846156
False,False,5,9,0.46153846153846156,0.6097560975609756,0.3076923076923077,0.46153846153846156
True,True,14,71,0.5,0.6097560975609756,0.2857142857142857,0.5
True,False,18,6,0.5,0.5952380952380952,0.2857142857142857,0.5
True,True,26,47,0.5333333333333333,0.5952380952380952,0.26666666666666666,0.5333333333333333
False,False,25,20,0.5333333333333333,0.6046511627906976,0.26666666666666666,0.5333333333333333
False,False,3,98,0.5333333333333333,0.6136363636363636,0.26666666666666666,0.5333333333333333
True,True,26,47,0.5625,0.6136363636363636,0.25,0.5625
True,False,23,36,0.5625,0.6,0.25,0.5625
True,False,17,55,0.5625,0.5869565217391305,0.25,0.5625
False,False,38,72,0.5625,0.5957446808510638,0.25,0.5625
True,False,16,43,0.5625,0.5833333333333334,0.25,0.5625
True,False,32,51,0.5625,0.5714285714285714,0.25,0.5625
True,False,3,35,0.5625,0.56,0.25,0.5625
False,False,35,83,0.5625,0.5686274509803921,0.25,0.5625
True,False,19,33,0.5625,0.5576923076923077,0.25,0.5625
True,False,47,27,0.5625,0.5471698113207547,0.25,0.5625
True,False,12,53,0.5625,0.5370370370370371,0.25,0.5625
True,False,12,92,0.5625,0.5272727272727272,0.25,0.5625
True,False,31,50,0.5625,0.5178571428571429,0.25,0.5625
True,False,47,15,0.5625,0.5087719298245614,0.25,0.5625
True,True,37,89,0.5882352941176471,0.5087719298245614,0.23529411764705882,0.5882352941176471
True,True,44,36,0.6111111111111112,0.5087719298245614,0.2222222222222222,0.6111111111111112
True,False,39,18,0.6111111111111112,0.5,0.2222222222222222,0.6111111111111112
False,True,6,89,0.5789473684210527,0.5,0.2631578947368421,0.5789473684210527
False,False,3,46,0.5789473684210527,0.5084745762711864,0.2631578947368421,0.5789473684210527
True,True,51,33,0.6,0.5084745762711864,0.25,0.6
True,True,52,42,0.5714285714285714,0.5084745762711864,0.23809523809523808,0.5714285714285714
True,True,10,39,0.5909090909090909,0.5084745762711864,0.22727272727272727,0.5909090909090909
True,True,16,64,0.5652173913043478,0.5084745762711864,0.21739130434782608,0.5652173913043478
True,False,16,75,0.5652173913043478,0.5,0.21739130434782608,0.5652173913043478
False,False,56,38,0.5652173913043478,0.5081967213114754,0.21739130434782608,0.5652173913043478
True,True,19,23,0.5416666666666666,0.5081967213114754,0.20833333333333334,0.5416666666666666
True,True,45,42,0.52,0.5081967213114754,0.2,0.52
False,False,23,66,0.52,0.5161290322580645,0.2,0.52
True,False,57,77,0.52,0.5079365079365079,0.2,0.52
True,True,19,49,0.5,0.5079365079365079,0.19230769230769232,0.5
True,True,57,18,0.5185185185185185,0.5079365079365079,0.18518518518518517,0.5185185185185185
True,True,43,46,0.5,0.5079365079365079,0.17857142857142858,0.5
True,True,17,15,0.4827586206896552,0.5079365079365079,0.1724137931034483,0.4827586206896552
True,True,3,35,0.4666666666666667,0.5079365079365079,0.16666666666666666,0.4666666666666667
True,False,8,69,0.4666666666666667,0.5,0.16666666666666666,0.4666666666666667
True,False,8,95,0.4666666666666667,0.49230769230769234,0.16666666666666666,0.4666666666666667
True,True,50,83,0.4838709677419355,0.49230769230769234,0.16129032258064516,0.4838709677419355
True,True,59,75,0.5,0.49230769230769234,0.15625,0.5
False,False,32,99,0.5,0.5,0.15625,0.5
True,True,64,73,0.48484848484848486,0.5,0.15151515151515152,0.48484848484848486
True,False,38,93,0.48484848484848486,0.4925373134328358,0.15151515151515152,0.48484848484848486
True,True,59,55,0.47058823529411764,0.4925373134328358,0.14705882352941177,0.47058823529411764
True,True,10,39,0.4857142857142857,0.4925373134328358,0.14285714285714285,0.4857142857142857
True,False,45,4,0.4857142857142857,0.4852941176470588,0.14285714285714285,0.4857142857142857
True,True,16,97,0.5,0.4852941176470588,0.1388888888888889,0.5
False,False,14,61,0.5,0.4927536231884058,0.1388888888888889,0.5
True,True,66,93,0.5135135135135135,0.4927536231884058,0.13513513513513514,0.5135135135135135
True,True,48,51,0.5263157894736842,0.4927536231884058,0.13157894736842105,0.5263157894736842
True,True,38,69,0.5128205128205128,0.4927536231884058,0.1282051282051282,0.5128205128205128
True,True,19,56,0.5,0.4927536231884058,0.125,0.5
True,True,22,84,0.5121951219512195,0.4927536231884058,0.12195121951219512,0.5121951219512195
True,True,51,59,0.5,0.4927536231884058,0.11904761904761904,0.5
True,True,59,64,0.4883720930232558,0.4927536231884058,0.11627906976744186,0.4883720930232558
False,False,22,94,0.4883720930232558,0.5,0.11627906976744186,0.4883720930232558
True,True,59,4,0.4772727272727273,0.5,0.11363636363636363,0.4772727272727273
True,True,3,11,0.4888888888888889,0.5,0.1111111111111111,0.4888888888888889
False,True,34,33,0.4782608695652174,0.5,0.13043478260869565,0.4782608695652174
False,False,14,68,0.4782608695652174,0.5070422535211268,0.13043478260869565,0.4782608695652174
False,True,60,38,0.48936170212765956,0.5070422535211268,0.14893617021276595,0.48936170212765956
False,True,42,20,0.5,0.5070422535211268,0.16666666666666666,0.5
True,True,51,33,0.5102040816326531,0.5070422535211268,0.16326530612244897,0.5102040816326531
True,False,17,34,0.5102040816326531,0.5,0.16326530612244897,0.5102040816326531
True,False,38,32,0.5102040816326531,0.4931506849315068,0.16326530612244897,0.5102040816326531
False,True,58,46,0.52,0.4931506849315068,0.18,0.52
True,True,53,53,0.5294117647058824,0.4931506849315068,0.17647058823529413,0.52
True,False,25,88,0.5294117647058824,0.4864864864864865,0.17647058823529413,0.52
True,False,38,67,0.5294117647058824,0.48,0.17647058823529413,0.52
True,True,54,70,0.5192307692307693,0.48,0.17307692307692307,0.52
True,True,59,64,0.5094339622641509,0.48,0.16981132075471697,0.5
True,True,53,53,0.5185185185185185,0.48,0.16666666666666666,0.5
True,True,23,64,0.5272727272727272,0.48,0.16363636363636364,0.5
True,True,15,8,0.5357142857142857,0.48,0.16071428571428573,0.5
True,True,26,96,0.5263157894736842,0.48,0.15789473684210525,0.5
False,True,22,87,0.5172413793103449,0.48,0.1724137931034483,0.5
True,False,38,30,0.5172413793103449,0.47368421052631576,0.1724137931034483,0.5
True,True,22,20,0.5084745762711864,0.47368421052631576,0.1694915254237288,0.5
True,True,75,30,0.5166666666666667,0.47368421052631576,0.16666666666666666,0.5
True,True,23,66,0.5081967213114754,0.47368421052631576,0.16393442622950818,0.5
True,True,56,19,0.5,0.47368421052631576,0.16129032258064516,0.5
True,True,63,76,0.49206349206349204,0.47368421052631576,0.15873015873015872,0.5
True,True,21,87,0.5,0.47368421052631576,0.15625,0.5
True,True,11,52,0.49230769230769234,0.47368421052631576,0.15384615384615385,0.48
True,False,20,62,0.49230769230769234,0.4675324675324675,0.15384615384615385,0.48
True,True,3,35,0.48484848484848486,0.4675324675324675,0.15151515151515152,0.46
True,False,23,63,0.48484848484848486,0.46153846153846156,0.15151515151515152,0.46
False,False,21,40,0.48484848484848486,0.46835443037974683,0.15151515151515152,0.46
True,True,38,4,0.47761194029850745,0.46835443037974683,0.14925373134328357,0.44
True,True,32,99,0.47058823529411764,0.46835443037974683,0.14705882352941177,0.42
True,True,23,63,0.463768115942029,0.46835443037974683,0.14492753623188406,0.42
True,True,77,74,0.45714285714285713,0.46835443037974683,0.14285714285714285,0.4
True,True,53,53,0.4647887323943662,0.46835443037974683,0.14084507042253522,0.42
True,False,20,26,0.4647887323943662,0.4625,0.14084507042253522,0.42
True,True,64,95,0.4722222222222222,0.4625,0.1388888888888889,0.42
