known,known_for_real,prediction,label,accuracy,ood,type1_ood_error,moving_avg
True,False,0,29,-1.0,0.5,-1.0,-1.0
True,False,1,0,-1.0,0.3333333333333333,-1.0,-1.0
True,False,2,11,-1.0,0.25,-1.0,-1.0
True,False,1,1,-1.0,0.2,-1.0,-1.0
True,False,4,86,-1.0,0.16666666666666666,-1.0,-1.0
True,False,4,90,-1.0,0.14285714285714285,-1.0,-1.0
True,False,2,28,-1.0,0.125,-1.0,-1.0
True,False,5,23,-1.0,0.1111111111111111,-1.0,-1.0
True,False,1,31,-1.0,0.1,-1.0,-1.0
True,False,5,39,-1.0,0.09090909090909091,-1.0,-1.0
True,False,8,96,-1.0,0.08333333333333333,-1.0,-1.0
True,False,10,82,-1.0,0.07692307692307693,-1.0,-1.0
True,False,12,17,-1.0,0.07142857142857142,-1.0,-1.0
True,False,8,71,-1.0,0.06666666666666667,-1.0,-1.0
True,True,10,39,1.0,0.06666666666666667,0.0,1.0
True,False,10,8,1.0,0.0625,0.0,1.0
True,False,9,97,1.0,0.058823529411764705,0.0,1.0
True,False,10,80,1.0,0.05555555555555555,0.0,1.0
True,True,8,71,0.5,0.05555555555555555,0.0,0.5
True,False,17,74,0.5,0.05263157894736842,0.0,0.5
True,False,14,59,0.5,0.05,0.0,0.5
True,False,10,70,0.5,0.047619047619047616,0.0,0.5
True,False,9,87,0.5,0.045454545454545456,0.0,0.5
True,True,19,59,0.6666666666666666,0.045454545454545456,0.0,0.6666666666666666
True,False,10,84,0.6666666666666666,0.043478260869565216,0.0,0.6666666666666666
True,False,17,64,0.6666666666666666,0.041666666666666664,0.0,0.6666666666666666
True,False,19,52,0.6666666666666666,0.04,0.0,0.6666666666666666
True,False,9,42,0.6666666666666666,0.038461538461538464,0.0,0.6666666666666666
True,True,23,64,0.75,0.038461538461538464,0.0,0.75
True,True,15,8,0.8,0.038461538461538464,0.0,0.8
True,True,13,17,0.8333333333333334,0.038461538461538464,0.0,0.8333333333333334
True,False,24,47,0.8333333333333334,0.037037037037037035,0.0,0.8333333333333334
True,False,15,65,0.8333333333333334,0.03571428571428571,0.0,0.8333333333333334
True,False,9,21,0.8333333333333334,0.034482758620689655,0.0,0.8333333333333334
True,False,19,22,0.8333333333333334,0.03333333333333333,0.0,0.8333333333333334
True,False,10,81,0.8333333333333334,0.03225806451612903,0.0,0.8333333333333334
True,True,19,11,0.7142857142857143,0.03225806451612903,0.0,0.7142857142857143
True,False,23,24,0.7142857142857143,0.03125,0.0,0.7142857142857143
True,True,17,84,0.625,0.03125,0.0,0.625
True,False,18,78,0.625,0.030303030303030304,0.0,0.625
True,False,1,45,0.625,0.029411764705882353,0.0,0.625
True,False,8,49,0.625,0.02857142857142857,0.0,0.625
True,True,17,97,0.5555555555555556,0.02857142857142857,0.0,0.5555555555555556
True,False,19,56,0.5555555555555556,0.027777777777777776,0.0,0.5555555555555556
True,False,19,76,0.5555555555555556,0.02702702702702703,0.0,0.5555555555555556
True,True,3,11,0.6,0.02702702702702703,0.0,0.6
True,True,19,90,0.5454545454545454,0.02702702702702703,0.0,0.5454545454545454
True,False,6,89,0.5454545454545454,0.02631578947368421,0.0,0.5454545454545454
True,True,17,78,0.5,0.02631578947368421,0.0,0.5
True,False,16,73,0.5,0.02564102564102564,0.0,0.5
True,False,32,14,0.5,0.025,0.0,0.5
True,True,14,87,0.46153846153846156,0.025,0.0,0.46153846153846156
True,False,3,9,0.46153846153846156,0.024390243902439025,0.0,0.46153846153846156
True,True,14,71,0.5,0.024390243902439025,0.0,0.5
True,False,18,6,0.5,0.023809523809523808,0.0,0.5
True,True,19,47,0.4666666666666667,0.023809523809523808,0.0,0.4666666666666667
True,False,3,20,0.4666666666666667,0.023255813953488372,0.0,0.4666666666666667
True,False,3,98,0.4666666666666667,0.022727272727272728,0.0,0.4666666666666667
True,True,26,47,0.5,0.022727272727272728,0.0,0.5
True,False,23,36,0.5,0.022222222222222223,0.0,0.5
True,False,16,55,0.5,0.021739130434782608,0.0,0.5
True,False,16,72,0.5,0.02127659574468085,0.0,0.5
True,False,16,43,0.5,0.020833333333333332,0.0,0.5
True,False,32,51,0.5,0.02040816326530612,0.0,0.5
True,False,3,35,0.5,0.02,0.0,0.5
True,False,32,83,0.5,0.0196078431372549,0.0,0.5
True,False,19,33,0.5,0.019230769230769232,0.0,0.5
True,False,16,27,0.5,0.018867924528301886,0.0,0.5
True,False,26,53,0.5,0.018518518518518517,0.0,0.5
True,False,12,92,0.5,0.01818181818181818,0.0,0.5
True,False,23,50,0.5,0.017857142857142856,0.0,0.5
True,False,47,15,0.5,0.017543859649122806,0.0,0.5
True,True,37,89,0.5294117647058824,0.017543859649122806,0.0,0.5294117647058824
True,True,44,36,0.5555555555555556,0.017543859649122806,0.0,0.5555555555555556
True,False,39,18,0.5555555555555556,0.017241379310344827,0.0,0.5555555555555556
True,True,6,89,0.5263157894736842,0.017241379310344827,0.0,0.5263157894736842
True,False,3,46,0.5263157894736842,0.01694915254237288,0.0,0.5263157894736842
True,True,51,33,0.55,0.01694915254237288,0.0,0.55
True,True,52,42,0.5238095238095238,0.01694915254237288,0.0,0.5238095238095238
True,True,10,39,0.5454545454545454,0.01694915254237288,0.0,0.5454545454545454
True,True,16,64,0.5217391304347826,0.01694915254237288,0.0,0.5217391304347826
True,False,16,75,0.5217391304347826,0.016666666666666666,0.0,0.5217391304347826
True,False,16,38,0.5217391304347826,0.01639344262295082,0.0,0.5217391304347826
True,True,19,23,0.5,0.01639344262295082,0.0,0.5
True,True,45,42,0.48,0.01639344262295082,0.0,0.48
True,False,23,66,0.48,0.016129032258064516,0.0,0.48
True,False,32,77,0.48,0.015873015873015872,0.0,0.48
True,True,19,49,0.46153846153846156,0.015873015873015872,0.0,0.46153846153846156
True,True,57,18,0.48148148148148145,0.015873015873015872,0.0,0.48148148148148145
True,True,3,46,0.4642857142857143,0.015873015873015872,0.0,0.4642857142857143
True,True,16,15,0.4482758620689655,0.015873015873015872,0.0,0.4482758620689655
True,True,3,35,0.43333333333333335,0.015873015873015872,0.0,0.43333333333333335
True,False,3,69,0.43333333333333335,0.015625,0.0,0.43333333333333335
True,False,8,95,0.43333333333333335,0.015384615384615385,0.0,0.43333333333333335
True,True,50,83,0.45161290322580644,0.015384615384615385,0.0,0.45161290322580644
True,True,59,75,0.46875,0.015384615384615385,0.0,0.46875
True,False,32,99,0.46875,0.015151515151515152,0.0,0.46875
True,True,8,73,0.45454545454545453,0.015151515151515152,0.0,0.45454545454545453
True,False,38,93,0.45454545454545453,0.014925373134328358,0.0,0.45454545454545453
True,True,59,55,0.4411764705882353,0.014925373134328358,0.0,0.4411764705882353
True,True,10,39,0.45714285714285713,0.014925373134328358,0.0,0.45714285714285713
True,False,45,4,0.45714285714285713,0.014705882352941176,0.0,0.45714285714285713
True,True,16,97,0.4722222222222222,0.014705882352941176,0.0,0.4722222222222222
True,False,14,61,0.4722222222222222,0.014492753623188406,0.0,0.4722222222222222
True,True,32,93,0.4594594594594595,0.014492753623188406,0.0,0.4594594594594595
True,True,48,51,0.47368421052631576,0.014492753623188406,0.0,0.47368421052631576
True,True,38,69,0.46153846153846156,0.014492753623188406,0.0,0.46153846153846156
True,True,19,56,0.45,0.014492753623188406,0.0,0.45
True,True,22,84,0.4634146341463415,0.014492753623188406,0.0,0.4634146341463415
True,True,51,59,0.4523809523809524,0.014492753623188406,0.0,0.4523809523809524
True,True,59,64,0.4418604651162791,0.014492753623188406,0.0,0.4418604651162791
True,False,22,94,0.4418604651162791,0.014285714285714285,0.0,0.4418604651162791
True,True,59,4,0.4318181818181818,0.014285714285714285,0.0,0.4318181818181818
True,True,3,11,0.4444444444444444,0.014285714285714285,0.0,0.4444444444444444
True,True,19,33,0.43478260869565216,0.014285714285714285,0.0,0.43478260869565216
