known,known_for_real,prediction,label,accuracy,ood,type1_ood_error,moving_avg
False,False,0,4,-1.0,1.0,-1.0,-1.0
False,False,1,1,-1.0,1.0,-1.0,-1.0
False,False,0,8,-1.0,1.0,-1.0,-1.0
False,False,1,6,-1.0,1.0,-1.0,-1.0
False,True,0,0,1.0,1.0,1.0,1.0
False,True,4,6,1.0,1.0,1.0,1.0
True,True,0,0,1.0,1.0,0.6666666666666666,1.0
False,True,1,4,1.0,1.0,0.75,1.0
True,True,1,4,1.0,1.0,0.6,1.0
False,True,3,8,1.0,1.0,0.6666666666666666,1.0
False,False,2,9,1.0,1.0,0.6666666666666666,1.0
False,False,0,7,1.0,1.0,0.6666666666666666,1.0
False,True,1,4,1.0,1.0,0.7142857142857143,1.0
False,False,3,5,1.0,1.0,0.7142857142857143,1.0
False,False,1,2,1.0,1.0,0.7142857142857143,1.0
False,True,2,1,1.0,1.0,0.75,1.0
False,True,4,6,1.0,1.0,0.7777777777777778,1.0
False,True,8,2,1.0,1.0,0.8,1.0
False,True,4,5,0.9090909090909091,1.0,0.8181818181818182,0.9090909090909091
False,True,5,9,0.9166666666666666,1.0,0.8333333333333334,0.9166666666666666
True,True,3,8,0.9230769230769231,1.0,0.7692307692307693,0.9230769230769231
False,True,7,5,0.9285714285714286,1.0,0.7857142857142857,0.9285714285714286
False,True,0,0,0.9333333333333333,1.0,0.8,0.9333333333333333
False,True,0,0,0.9375,1.0,0.8125,0.9375
True,True,0,0,0.9411764705882353,1.0,0.7647058823529411,0.9411764705882353
True,True,0,0,0.9444444444444444,1.0,0.7222222222222222,0.9444444444444444
False,False,7,3,0.9444444444444444,1.0,0.7222222222222222,0.9444444444444444
False,True,5,9,0.9473684210526315,1.0,0.7368421052631579,0.9473684210526315
False,True,3,8,0.95,1.0,0.75,0.95
True,True,0,0,0.9523809523809523,1.0,0.7142857142857143,0.9523809523809523
True,True,4,6,0.9545454545454546,1.0,0.6818181818181818,0.9545454545454546
False,True,0,3,0.9130434782608695,1.0,0.6956521739130435,0.9130434782608695
True,True,2,1,0.9166666666666666,1.0,0.6666666666666666,0.9166666666666666
False,True,7,5,0.92,1.0,0.68,0.92
True,True,8,2,0.9230769230769231,1.0,0.6538461538461539,0.9230769230769231
False,True,1,4,0.9259259259259259,1.0,0.6666666666666666,0.9259259259259259
True,True,9,3,0.9285714285714286,1.0,0.6428571428571429,0.9285714285714286
True,True,3,8,0.9310344827586207,1.0,0.6206896551724138,0.9310344827586207
False,True,4,6,0.9333333333333333,1.0,0.6333333333333333,0.9333333333333333
False,True,9,3,0.9354838709677419,1.0,0.6451612903225806,0.9354838709677419
False,True,4,6,0.9375,1.0,0.65625,0.9375
False,True,4,6,0.9393939393939394,1.0,0.6666666666666666,0.9393939393939394
False,True,6,7,0.9411764705882353,1.0,0.6764705882352942,0.9411764705882353
True,True,7,5,0.9428571428571428,1.0,0.6571428571428571,0.9428571428571428
True,True,5,9,0.9444444444444444,1.0,0.6388888888888888,0.9444444444444444
True,True,2,1,0.9459459459459459,1.0,0.6216216216216216,0.9459459459459459
True,True,3,8,0.9473684210526315,1.0,0.6052631578947368,0.9473684210526315
True,True,0,0,0.9487179487179487,1.0,0.5897435897435898,0.9487179487179487
True,True,1,4,0.95,1.0,0.575,0.95
True,True,3,8,0.9512195121951219,1.0,0.5609756097560976,0.9512195121951219
False,True,1,4,0.9523809523809523,1.0,0.5714285714285714,0.9523809523809523
True,True,7,5,0.9534883720930233,1.0,0.5581395348837209,0.9534883720930233
True,True,1,4,0.9545454545454546,1.0,0.5454545454545454,0.9545454545454546
