known,known_for_real,prediction,label,accuracy,ood,type1_ood_error
False,False,0,7,-1.0,1.0,
True,True,0,1,1.0,1.0,0.0
False,False,1,6,1.0,1.0,0.0
False,False,2,4,1.0,1.0,0.0
True,True,0,1,1.0,1.0,0.0
True,False,1,0,1.0,0.8,0.0
True,False,4,2,1.0,0.6666666666666666,0.0
True,True,5,1,0.6666666666666666,0.6666666666666666,0.0
True,True,0,1,0.75,0.6666666666666666,0.0
True,True,4,0,0.8,0.6666666666666666,0.0
True,True,3,4,0.8333333333333334,0.6666666666666666,0.0
True,False,5,5,0.8333333333333334,0.5714285714285714,0.0
True,True,3,4,0.8571428571428571,0.5714285714285714,0.0
True,True,0,1,0.875,0.5714285714285714,0.0
True,True,0,1,0.8888888888888888,0.5714285714285714,0.0
True,True,3,4,0.9,0.5714285714285714,0.0
True,True,0,1,0.9090909090909091,0.5714285714285714,0.0
True,True,5,5,0.8333333333333334,0.5714285714285714,0.0
True,True,6,5,0.8461538461538461,0.5714285714285714,0.0
True,True,5,2,0.8571428571428571,0.5714285714285714,0.0
False,False,5,3,0.8571428571428571,0.625,0.0
False,False,3,8,0.8571428571428571,0.6666666666666666,0.0
True,True,2,8,0.8,0.6666666666666666,0.0
True,True,6,5,0.8125,0.6666666666666666,0.0
True,True,5,6,0.7647058823529411,0.6666666666666666,0.0
True,True,8,8,0.7777777777777778,0.6666666666666666,0.0
True,True,5,5,0.7368421052631579,0.6666666666666666,0.0
False,False,2,9,0.7368421052631579,0.7,0.0
True,True,0,9,0.7,0.7,0.0
True,True,6,5,0.7142857142857143,0.7,0.0
True,True,5,0,0.6818181818181818,0.7,0.0
True,True,8,8,0.6956521739130435,0.7,0.0
True,True,5,2,0.7083333333333334,0.7,0.0
True,True,5,8,0.68,0.7,0.0
True,True,6,5,0.6923076923076923,0.7,0.0
True,True,0,1,0.7037037037037037,0.7,0.0
True,True,5,9,0.6785714285714286,0.7,0.0
True,True,0,1,0.6896551724137931,0.7,0.0
True,True,8,8,0.7,0.7,0.0
True,True,1,7,0.7096774193548387,0.7,0.0
False,True,3,8,0.6875,0.7,0.03125
True,True,9,9,0.696969696969697,0.7,0.030303030303030304
False,True,2,6,0.7058823529411765,0.7,0.058823529411764705
True,True,9,9,0.7142857142857143,0.7,0.05714285714285714
True,True,9,9,0.7222222222222222,0.7,0.05555555555555555
True,True,4,5,0.7027027027027027,0.7,0.05405405405405406
True,True,8,8,0.7105263157894737,0.7,0.05263157894736842
True,True,6,5,0.717948717948718,0.7,0.05128205128205128
True,True,7,3,0.725,0.7,0.05
True,True,5,7,0.7073170731707317,0.7,0.04878048780487805
True,True,4,8,0.6904761904761905,0.7,0.047619047619047616
True,True,2,0,0.6744186046511628,0.7,0.046511627906976744
True,True,2,6,0.6818181818181818,0.7,0.045454545454545456
True,True,3,4,0.6888888888888889,0.7,0.044444444444444446
True,True,5,1,0.6739130434782609,0.7,0.043478260869565216
True,True,7,3,0.6808510638297872,0.7,0.0425531914893617
True,True,1,7,0.6875,0.7,0.041666666666666664
True,True,6,5,0.6938775510204082,0.7,0.04081632653061224
True,True,6,5,0.7,0.7,0.04
True,True,6,5,0.7058823529411765,0.7,0.0392156862745098
True,True,2,6,0.7115384615384616,0.7,0.038461538461538464
True,True,1,7,0.7169811320754716,0.7,0.03773584905660377
True,True,3,4,0.7222222222222222,0.7,0.037037037037037035
True,True,0,1,0.7272727272727273,0.7,0.03636363636363636
True,True,7,3,0.7321428571428571,0.7,0.03571428571428571
False,True,2,6,0.7368421052631579,0.7,0.05263157894736842
True,True,5,7,0.7241379310344828,0.7,0.05172413793103448
True,True,2,6,0.7288135593220338,0.7,0.05084745762711865
True,True,1,1,0.7166666666666667,0.7,0.05
True,True,1,1,0.7049180327868853,0.7,0.04918032786885246
True,True,6,5,0.7096774193548387,0.7,0.04838709677419355
True,True,6,5,0.7142857142857143,0.7,0.047619047619047616
True,True,4,2,0.703125,0.7,0.046875
True,True,0,1,0.7076923076923077,0.7,0.046153846153846156
True,True,1,7,0.7121212121212122,0.7,0.045454545454545456
True,True,7,3,0.7164179104477612,0.7,0.04477611940298507
True,True,7,3,0.7205882352941176,0.7,0.04411764705882353
True,True,1,1,0.7101449275362319,0.7,0.043478260869565216
True,True,8,8,0.7142857142857143,0.7,0.04285714285714286
True,True,1,7,0.7183098591549296,0.7,0.04225352112676056
True,True,5,5,0.7083333333333334,0.7,0.041666666666666664
True,True,5,2,0.7123287671232876,0.7,0.0410958904109589
True,True,2,5,0.7027027027027027,0.7,0.04054054054054054
True,True,6,5,0.7066666666666667,0.7,0.04
True,True,2,6,0.7105263157894737,0.7,0.039473684210526314
True,True,5,5,0.7012987012987013,0.7,0.03896103896103896
True,True,4,0,0.7051282051282052,0.7,0.038461538461538464
True,True,6,5,0.7088607594936709,0.7,0.0379746835443038
True,True,1,7,0.7125,0.7,0.0375
False,True,5,2,0.7160493827160493,0.7,0.04938271604938271
True,True,3,8,0.7073170731707317,0.7,0.04878048780487805
True,True,8,8,0.7108433734939759,0.7,0.04819277108433735
True,True,3,4,0.7142857142857143,0.7,0.047619047619047616
True,True,5,2,0.7176470588235294,0.7,0.047058823529411764
True,True,3,4,0.7209302325581395,0.7,0.046511627906976744
True,True,3,4,0.7241379310344828,0.7,0.04597701149425287
True,True,5,0,0.7159090909090909,0.7,0.045454545454545456
True,True,6,5,0.7191011235955056,0.7,0.0449438202247191
True,True,5,1,0.7111111111111111,0.7,0.044444444444444446
True,True,4,0,0.7142857142857143,0.7,0.04395604395604396
True,True,6,5,0.717391304347826,0.7,0.043478260869565216
True,True,8,8,0.7204301075268817,0.7,0.043010752688172046
True,True,5,5,0.7127659574468085,0.7,0.0425531914893617
True,True,1,1,0.7052631578947368,0.7,0.042105263157894736
True,True,1,1,0.6979166666666666,0.7,0.041666666666666664
True,True,5,7,0.6907216494845361,0.7,0.041237113402061855
True,True,2,3,0.6836734693877551,0.7,0.04081632653061224
False,True,2,6,0.6868686868686869,0.7,0.050505050505050504
True,True,1,0,0.68,0.7,0.05
True,True,0,1,0.6831683168316832,0.7,0.04950495049504951
True,True,0,1,0.6862745098039216,0.7,0.049019607843137254
True,True,8,8,0.6893203883495146,0.7,0.04854368932038835
True,True,5,5,0.6826923076923077,0.7,0.04807692307692308
True,True,8,8,0.6857142857142857,0.7,0.047619047619047616
True,True,4,0,0.6886792452830188,0.7,0.04716981132075472
True,True,3,4,0.6915887850467289,0.7,0.04672897196261682
True,True,6,5,0.6944444444444444,0.7,0.046296296296296294
True,True,3,4,0.6972477064220184,0.7,0.045871559633027525
True,True,8,8,0.7,0.7,0.045454545454545456
True,True,6,5,0.7027027027027027,0.7,0.04504504504504504
True,True,3,4,0.7053571428571429,0.7,0.044642857142857144
True,True,4,0,0.7079646017699115,0.7,0.04424778761061947
True,True,5,5,0.7017543859649122,0.7,0.043859649122807015
True,True,5,9,0.6956521739130435,0.7,0.043478260869565216
True,True,6,5,0.6982758620689655,0.7,0.04310344827586207
True,True,6,5,0.7008547008547008,0.7,0.042735042735042736
True,True,1,7,0.7033898305084746,0.7,0.0423728813559322
True,True,2,6,0.7058823529411765,0.7,0.04201680672268908
