known,known_for_real,prediction,label,accuracy,ood,type1_ood_error,moving_avg
False,False,0,4,-1.0,1.0,-1.0,-1.0
False,False,0,1,-1.0,1.0,-1.0,-1.0
False,False,0,8,-1.0,1.0,-1.0,-1.0
False,False,1,6,-1.0,1.0,-1.0,-1.0
False,True,0,0,1.0,1.0,1.0,1.0
False,True,4,6,1.0,1.0,1.0,1.0
False,True,0,0,1.0,1.0,1.0,1.0
False,True,1,4,1.0,1.0,1.0,1.0
False,True,1,4,1.0,1.0,1.0,1.0
False,True,3,8,1.0,1.0,1.0,1.0
False,False,2,9,1.0,1.0,1.0,1.0
False,False,0,7,1.0,1.0,1.0,1.0
False,True,1,4,1.0,1.0,1.0,1.0
False,False,0,5,1.0,1.0,1.0,1.0
False,False,7,2,1.0,1.0,1.0,1.0
False,True,2,1,1.0,1.0,1.0,1.0
False,True,4,6,1.0,1.0,1.0,1.0
False,True,8,2,1.0,1.0,1.0,1.0
False,True,7,5,1.0,1.0,1.0,1.0
False,True,5,9,1.0,1.0,1.0,1.0
False,True,3,8,1.0,1.0,1.0,1.0
False,True,7,5,1.0,1.0,1.0,1.0
False,True,0,0,1.0,1.0,1.0,1.0
False,True,0,0,1.0,1.0,1.0,1.0
False,True,0,0,1.0,1.0,1.0,1.0
False,True,0,0,1.0,1.0,1.0,1.0
False,False,7,3,1.0,1.0,1.0,1.0
False,True,5,9,1.0,1.0,1.0,1.0
False,True,3,8,1.0,1.0,1.0,1.0
False,True,0,0,1.0,1.0,1.0,1.0
False,True,4,6,1.0,1.0,1.0,1.0
False,True,0,3,0.9565217391304348,1.0,1.0,0.9565217391304348
False,True,2,1,0.9583333333333334,1.0,1.0,0.9583333333333334
False,True,7,5,0.96,1.0,1.0,0.96
False,True,8,2,0.9615384615384616,1.0,1.0,0.9615384615384616
False,True,1,4,0.9629629629629629,1.0,1.0,0.9629629629629629
False,True,9,3,0.9642857142857143,1.0,1.0,0.9642857142857143
False,True,3,8,0.9655172413793104,1.0,1.0,0.9655172413793104
False,True,4,6,0.9666666666666667,1.0,1.0,0.9666666666666667
False,True,0,3,0.9354838709677419,1.0,1.0,0.9354838709677419
False,True,4,6,0.9375,1.0,1.0,0.9375
False,True,4,6,0.9393939393939394,1.0,1.0,0.9393939393939394
False,True,0,7,0.9117647058823529,1.0,1.0,0.9117647058823529
False,True,7,5,0.9142857142857143,1.0,1.0,0.9142857142857143
False,True,5,9,0.9166666666666666,1.0,1.0,0.9166666666666666
False,True,2,1,0.918918918918919,1.0,1.0,0.918918918918919
False,True,3,8,0.9210526315789473,1.0,1.0,0.9210526315789473
False,True,0,0,0.9230769230769231,1.0,1.0,0.9230769230769231
False,True,1,4,0.925,1.0,1.0,0.925
False,True,3,8,0.926829268292683,1.0,1.0,0.926829268292683
False,True,1,4,0.9285714285714286,1.0,1.0,0.9285714285714286
False,True,7,5,0.9302325581395349,1.0,1.0,0.9302325581395349
False,True,1,4,0.9318181818181818,1.0,1.0,0.9318181818181818
False,True,5,9,0.9333333333333333,1.0,1.0,0.9333333333333333
False,True,3,8,0.9347826086956522,1.0,1.0,0.9347826086956522
False,True,8,2,0.9361702127659575,1.0,1.0,0.9361702127659575
False,True,4,6,0.9375,1.0,1.0,0.9375
False,True,6,7,0.9387755102040817,1.0,1.0,0.9387755102040817
False,True,9,3,0.94,1.0,1.0,0.94
False,True,9,3,0.9411764705882353,1.0,1.0,0.94
False,True,4,6,0.9423076923076923,1.0,1.0,0.94
False,True,8,2,0.9433962264150944,1.0,1.0,0.94
False,True,1,4,0.9444444444444444,1.0,1.0,0.94
False,True,0,3,0.9272727272727272,1.0,1.0,0.92
False,True,3,8,0.9285714285714286,1.0,1.0,0.92
False,True,7,5,0.9298245614035088,1.0,1.0,0.92
False,True,4,6,0.9310344827586207,1.0,1.0,0.92
False,True,0,0,0.9322033898305084,1.0,1.0,0.92
False,True,9,3,0.9333333333333333,1.0,1.0,0.92
False,True,7,5,0.9344262295081968,1.0,1.0,0.92
False,True,0,3,0.9193548387096774,1.0,1.0,0.9
False,True,7,5,0.9206349206349206,1.0,1.0,0.9
False,True,0,0,0.921875,1.0,1.0,0.9
False,True,0,0,0.9230769230769231,1.0,1.0,0.9
False,True,3,8,0.9242424242424242,1.0,1.0,0.9
False,True,6,7,0.9253731343283582,1.0,1.0,0.9
False,True,5,9,0.9264705882352942,1.0,1.0,0.9
False,True,9,3,0.927536231884058,1.0,1.0,0.9
False,True,9,3,0.9285714285714286,1.0,1.0,0.9
False,True,5,9,0.9295774647887324,1.0,1.0,0.9
False,True,5,9,0.9305555555555556,1.0,1.0,0.9
False,True,7,5,0.9315068493150684,1.0,1.0,0.92
False,True,6,7,0.9324324324324325,1.0,1.0,0.92
False,True,7,5,0.9333333333333333,1.0,1.0,0.92
False,True,9,3,0.9342105263157895,1.0,1.0,0.92
False,True,6,7,0.935064935064935,1.0,1.0,0.92
False,True,2,1,0.9358974358974359,1.0,1.0,0.92
False,True,7,5,0.9367088607594937,1.0,1.0,0.92
False,True,3,8,0.9375,1.0,1.0,0.92
False,True,9,3,0.9382716049382716,1.0,1.0,0.94
False,True,8,2,0.9390243902439024,1.0,1.0,0.94
False,True,8,2,0.9397590361445783,1.0,1.0,0.94
False,True,6,7,0.9404761904761905,1.0,1.0,0.96
False,True,6,7,0.9411764705882353,1.0,1.0,0.96
False,True,1,4,0.9418604651162791,1.0,1.0,0.96
False,True,7,5,0.9425287356321839,1.0,1.0,0.96
False,True,1,4,0.9431818181818182,1.0,1.0,0.96
False,True,8,2,0.9438202247191011,1.0,1.0,0.96
False,True,6,7,0.9444444444444444,1.0,1.0,0.96
False,True,8,2,0.945054945054945,1.0,1.0,0.96
False,True,2,1,0.9456521739130435,1.0,1.0,0.96
False,True,9,3,0.946236559139785,1.0,1.0,0.96
False,True,2,1,0.9468085106382979,1.0,1.0,0.96
