known,known_for_real,prediction,label,accuracy,ood,type1_ood_error,moving_avg
False,False,0,4,-1.0,1.0,-1.0,-1.0
False,False,1,1,-1.0,1.0,-1.0,-1.0
False,False,0,8,-1.0,1.0,-1.0,-1.0
False,False,1,6,-1.0,1.0,-1.0,-1.0
False,True,0,0,1.0,1.0,1.0,1.0
False,True,4,6,1.0,1.0,1.0,1.0
False,True,0,0,1.0,1.0,1.0,1.0
False,True,1,4,1.0,1.0,1.0,1.0
False,True,1,4,1.0,1.0,1.0,1.0
False,True,3,8,1.0,1.0,1.0,1.0
False,False,2,9,1.0,1.0,1.0,1.0
False,False,0,7,1.0,1.0,1.0,1.0
False,True,1,4,1.0,1.0,1.0,1.0
False,False,3,5,1.0,1.0,1.0,1.0
False,False,1,2,1.0,1.0,1.0,1.0
False,True,2,1,1.0,1.0,1.0,1.0
False,True,4,6,1.0,1.0,1.0,1.0
False,True,8,2,1.0,1.0,1.0,1.0
False,True,4,5,0.9090909090909091,1.0,1.0,0.9090909090909091
False,True,5,9,0.9166666666666666,1.0,1.0,0.9166666666666666
False,True,3,8,0.9230769230769231,1.0,1.0,0.9230769230769231
False,True,7,5,0.9285714285714286,1.0,1.0,0.9285714285714286
False,True,0,0,0.9333333333333333,1.0,1.0,0.9333333333333333
False,True,0,0,0.9375,1.0,1.0,0.9375
False,True,0,0,0.9411764705882353,1.0,1.0,0.9411764705882353
False,True,0,0,0.9444444444444444,1.0,1.0,0.9444444444444444
False,False,4,3,0.9444444444444444,1.0,1.0,0.9444444444444444
False,True,5,9,0.9473684210526315,1.0,1.0,0.9473684210526315
False,True,3,8,0.95,1.0,1.0,0.95
False,True,0,0,0.9523809523809523,1.0,1.0,0.9523809523809523
False,True,4,6,0.9545454545454546,1.0,1.0,0.9545454545454546
False,True,0,3,0.9130434782608695,1.0,1.0,0.9130434782608695
False,True,2,1,0.9166666666666666,1.0,1.0,0.9166666666666666
False,True,7,5,0.92,1.0,1.0,0.92
False,True,8,2,0.9230769230769231,1.0,1.0,0.9230769230769231
False,True,1,4,0.9259259259259259,1.0,1.0,0.9259259259259259
False,True,9,3,0.9285714285714286,1.0,1.0,0.9285714285714286
False,True,3,8,0.9310344827586207,1.0,1.0,0.9310344827586207
False,True,4,6,0.9333333333333333,1.0,1.0,0.9333333333333333
False,True,0,3,0.9032258064516129,1.0,1.0,0.9032258064516129
False,True,4,6,0.90625,1.0,1.0,0.90625
False,True,4,6,0.9090909090909091,1.0,1.0,0.9090909090909091
False,True,0,7,0.8823529411764706,1.0,1.0,0.8823529411764706
False,True,7,5,0.8857142857142857,1.0,1.0,0.8857142857142857
False,True,5,9,0.8888888888888888,1.0,1.0,0.8888888888888888
False,True,2,1,0.8918918918918919,1.0,1.0,0.8918918918918919
False,True,3,8,0.8947368421052632,1.0,1.0,0.8947368421052632
False,True,0,0,0.8974358974358975,1.0,1.0,0.8974358974358975
False,True,1,4,0.9,1.0,1.0,0.9
False,True,3,8,0.9024390243902439,1.0,1.0,0.9024390243902439
False,True,1,4,0.9047619047619048,1.0,1.0,0.9047619047619048
False,True,7,5,0.9069767441860465,1.0,1.0,0.9069767441860465
False,True,1,4,0.9090909090909091,1.0,1.0,0.9090909090909091
False,True,5,9,0.9111111111111111,1.0,1.0,0.9111111111111111
False,True,3,8,0.9130434782608695,1.0,1.0,0.9130434782608695
False,True,8,2,0.9148936170212766,1.0,1.0,0.9148936170212766
False,True,4,6,0.9166666666666666,1.0,1.0,0.9166666666666666
False,True,6,7,0.9183673469387755,1.0,1.0,0.9183673469387755
