known,known_for_real,prediction,label,accuracy,ood,confusion
False,False,0,socket,-1.0,1.0,-1.0
True,False,1,glasses,-1.0,0.6666666666666666,-1.0
True,False,2,scissors,-1.0,0.5,-1.0
True,False,3,marker,-1.0,0.4,-1.0
True,True,3,scissors,1.0,0.4,0.0
True,True,1,socket,1.0,0.4,0.0
True,True,2,glasses,1.0,0.4,0.0
False,False,2,remote,1.0,0.5,0.0
True,False,2,phone,1.0,0.42857142857142855,0.0
True,False,0,ball,1.0,0.375,0.0
True,True,7,ball,1.0,0.375,0.0
False,False,4,can,1.0,0.4444444444444444,0.0
True,True,5,remote,1.0,0.4444444444444444,0.0
True,True,5,phone,0.8333333333333334,0.4444444444444444,0.0
True,True,4,marker,0.8571428571428571,0.4444444444444444,0.0
True,True,3,scissors,0.875,0.4444444444444444,0.0
True,True,8,can,0.8888888888888888,0.4444444444444444,0.0
True,True,0,mug,0.9,0.4444444444444444,0.0
True,False,1,bulb,0.9,0.4,0.0
True,True,3,scissors,0.9090909090909091,0.4,0.0
True,True,8,can,0.9166666666666666,0.4,0.0
True,True,5,remote,0.9230769230769231,0.4,0.0
True,True,1,socket,0.9285714285714286,0.4,0.0
True,True,6,phone,0.9333333333333333,0.4,0.0
True,True,1,socket,0.9375,0.4,0.0
True,True,0,mug,0.9411764705882353,0.4,0.0
True,True,0,mug,0.9444444444444444,0.4,0.0
True,True,4,marker,0.9473684210526315,0.4,0.0
True,True,9,bulb,0.95,0.4,0.0
True,True,2,glasses,0.9523809523809523,0.4,0.0
True,True,5,remote,0.9545454545454546,0.4,0.0
True,True,6,phone,0.9565217391304348,0.4,0.0
True,True,4,marker,0.9583333333333334,0.4,0.0
True,True,9,bulb,0.96,0.4,0.0
True,True,6,phone,0.9615384615384616,0.4,0.0
True,True,0,mug,0.9629629629629629,0.4,0.0
True,True,3,scissors,0.9642857142857143,0.4,0.0
True,True,4,marker,0.9655172413793104,0.4,0.0
True,True,8,can,0.9666666666666667,0.4,0.0
True,True,7,ball,0.967741935483871,0.4,0.0
True,True,9,bulb,0.96875,0.4,0.0
True,True,2,glasses,0.9696969696969697,0.4,0.0
True,True,7,ball,0.9705882352941176,0.4,0.0
True,True,7,ball,0.9714285714285714,0.4,0.0
True,True,9,bulb,0.9722222222222222,0.4,0.0
True,True,1,socket,0.972972972972973,0.4,0.0
True,True,2,glasses,0.9736842105263158,0.4,0.0
True,True,5,remote,0.9743589743589743,0.4,0.0
True,True,8,can,0.975,0.4,0.0
True,True,0,mug,0.975609756097561,0.4,0.0
True,True,1,socket,0.9761904761904762,0.4,0.0
True,True,2,glasses,0.9767441860465116,0.4,0.0
True,True,3,scissors,0.9772727272727273,0.4,0.0
True,True,4,marker,0.9777777777777777,0.4,0.0
True,True,3,scissors,0.9782608695652174,0.4,0.0
True,True,1,socket,0.9787234042553191,0.4,0.0
True,True,2,glasses,0.9791666666666666,0.4,0.0
True,True,5,remote,0.9795918367346939,0.4,0.0
True,True,6,phone,0.98,0.4,0.0
True,True,7,ball,0.9803921568627451,0.4,0.0
True,True,7,ball,0.9807692307692307,0.4,0.0
True,True,8,can,0.9811320754716981,0.4,0.0
True,True,5,remote,0.9814814814814815,0.4,0.0
True,True,6,phone,0.9818181818181818,0.4,0.0
True,True,4,marker,0.9821428571428571,0.4,0.0
True,True,3,scissors,0.9824561403508771,0.4,0.0
True,True,8,can,0.9827586206896551,0.4,0.0
True,True,0,mug,0.9830508474576272,0.4,0.0
True,True,9,bulb,0.9833333333333333,0.4,0.0
True,True,3,scissors,0.9836065573770492,0.4,0.0
True,True,8,can,0.9838709677419355,0.4,0.0
True,True,4,remote,0.9682539682539683,0.4,0.0
True,True,1,socket,0.96875,0.4,0.0
True,True,5,phone,0.9538461538461539,0.4,0.0
True,True,1,socket,0.9545454545454546,0.4,0.0
True,True,0,mug,0.9552238805970149,0.4,0.0
True,True,0,mug,0.9558823529411765,0.4,0.0
True,True,4,marker,0.9565217391304348,0.4,0.0
True,True,9,bulb,0.9571428571428572,0.4,0.0
True,True,2,glasses,0.9577464788732394,0.4,0.0
True,True,5,remote,0.9583333333333334,0.4,0.0
True,True,6,phone,0.958904109589041,0.4,0.0
True,True,4,marker,0.9594594594594594,0.4,0.0
True,True,9,bulb,0.96,0.4,0.0
True,True,6,phone,0.9605263157894737,0.4,0.0
True,True,0,mug,0.961038961038961,0.4,0.0
True,True,3,scissors,0.9615384615384616,0.4,0.0
True,True,4,marker,0.9620253164556962,0.4,0.0
True,True,8,can,0.9625,0.4,0.0
True,True,7,ball,0.9629629629629629,0.4,0.0
True,True,9,bulb,0.9634146341463414,0.4,0.0
True,True,2,glasses,0.963855421686747,0.4,0.0
True,True,7,ball,0.9642857142857143,0.4,0.0
True,True,7,ball,0.9647058823529412,0.4,0.0
True,True,9,bulb,0.9651162790697675,0.4,0.0
True,True,1,socket,0.9655172413793104,0.4,0.0
True,True,2,glasses,0.9659090909090909,0.4,0.0
True,True,5,remote,0.9662921348314607,0.4,0.0
