known,known_for_real,prediction,label,accuracy,ood,confusion
False,False,0,can,-1.0,1.0,-1.0
False,False,1,marker,-1.0,1.0,-1.0
False,False,0,scissors,-1.0,1.0,-1.0
False,False,0,ball,-1.0,1.0,-1.0
False,False,0,mug,-1.0,1.0,-1.0
True,True,3,scissors,1.0,1.0,0.0
True,True,2,marker,1.0,1.0,0.0
True,True,2,marker,1.0,1.0,0.0
True,True,3,scissors,1.0,1.0,0.0
True,True,3,scissors,1.0,1.0,0.0
True,True,1,can,1.0,1.0,0.0
True,True,0,glasses,1.0,1.0,0.0
False,False,0,phone,1.0,1.0,0.0
True,False,3,bulb,1.0,0.875,0.0
True,True,1,can,1.0,0.875,0.0
True,True,0,glasses,1.0,0.875,0.0
True,True,2,marker,1.0,0.875,0.0
True,False,7,socket,1.0,0.7777777777777778,0.0
True,True,0,scissors,0.9090909090909091,0.7777777777777778,0.0
True,True,4,ball,0.9166666666666666,0.7777777777777778,0.0
True,True,2,marker,0.9230769230769231,0.7777777777777778,0.0
True,True,7,bulb,0.9285714285714286,0.7777777777777778,0.0
True,True,2,marker,0.9333333333333333,0.7777777777777778,0.0
True,True,0,glasses,0.9375,0.7777777777777778,0.0
True,True,7,bulb,0.9411764705882353,0.7777777777777778,0.0
True,True,2,marker,0.9444444444444444,0.7777777777777778,0.0
True,True,7,bulb,0.9473684210526315,0.7777777777777778,0.0
True,True,1,can,0.95,0.7777777777777778,0.0
True,True,0,glasses,0.9523809523809523,0.7777777777777778,0.0
True,True,1,can,0.9545454545454546,0.7777777777777778,0.0
True,True,1,can,0.9565217391304348,0.7777777777777778,0.0
True,True,1,can,0.9583333333333334,0.7777777777777778,0.0
True,True,3,scissors,0.96,0.7777777777777778,0.0
True,True,4,ball,0.9615384615384616,0.7777777777777778,0.0
True,True,3,scissors,0.9629629629629629,0.7777777777777778,0.0
True,True,5,mug,0.9642857142857143,0.7777777777777778,0.0
True,True,2,marker,0.9655172413793104,0.7777777777777778,0.0
True,True,3,scissors,0.9666666666666667,0.7777777777777778,0.0
True,True,2,marker,0.967741935483871,0.7777777777777778,0.0
True,True,7,socket,0.9375,0.7777777777777778,0.0
True,True,7,bulb,0.9393939393939394,0.7777777777777778,0.0
True,True,3,scissors,0.9411764705882353,0.7777777777777778,0.0
True,True,5,mug,0.9428571428571428,0.7777777777777778,0.0
True,True,6,phone,0.9444444444444444,0.7777777777777778,0.0
True,True,7,bulb,0.9459459459459459,0.7777777777777778,0.0
True,True,6,phone,0.9473684210526315,0.7777777777777778,0.0
True,True,7,bulb,0.9487179487179487,0.7777777777777778,0.0
True,True,3,scissors,0.95,0.7777777777777778,0.0
True,True,1,can,0.9512195121951219,0.7777777777777778,0.0
True,True,5,mug,0.9523809523809523,0.7777777777777778,0.0
True,False,3,remote,0.9523809523809523,0.7,0.0
True,True,7,bulb,0.9534883720930233,0.7,0.0
True,True,0,glasses,0.9545454545454546,0.7,0.0
True,True,3,scissors,0.9555555555555556,0.7,0.0
True,True,2,marker,0.9565217391304348,0.7,0.0
True,True,5,mug,0.9574468085106383,0.7,0.0
True,True,9,remote,0.9583333333333334,0.7,0.0
True,True,0,glasses,0.9591836734693877,0.7,0.0
True,True,1,can,0.96,0.7,0.0
True,True,9,remote,0.9607843137254902,0.7,0.0
True,True,6,phone,0.9615384615384616,0.7,0.0
True,True,1,can,0.9622641509433962,0.7,0.0
True,True,8,socket,0.9629629629629629,0.7,0.0
True,True,2,marker,0.9636363636363636,0.7,0.0
True,True,7,bulb,0.9642857142857143,0.7,0.0
True,True,7,ball,0.9473684210526315,0.7,0.0
True,True,6,phone,0.9482758620689655,0.7,0.0
True,True,4,ball,0.9491525423728814,0.7,0.0
True,True,6,phone,0.95,0.7,0.0
True,True,9,remote,0.9508196721311475,0.7,0.0
True,True,7,bulb,0.9516129032258065,0.7,0.0
True,True,1,can,0.9523809523809523,0.7,0.0
True,True,7,bulb,0.953125,0.7,0.0
True,True,4,ball,0.9538461538461539,0.7,0.0
True,True,3,scissors,0.9545454545454546,0.7,0.0
True,True,7,bulb,0.9552238805970149,0.7,0.0
True,True,7,bulb,0.9558823529411765,0.7,0.0
True,True,6,phone,0.9565217391304348,0.7,0.0
True,True,2,marker,0.9571428571428572,0.7,0.0
True,True,9,remote,0.9577464788732394,0.7,0.0
True,True,8,socket,0.9583333333333334,0.7,0.0
True,True,9,remote,0.958904109589041,0.7,0.0
True,True,9,remote,0.9594594594594594,0.7,0.0
True,True,4,ball,0.96,0.7,0.0
True,True,5,mug,0.9605263157894737,0.7,0.0
True,True,8,socket,0.961038961038961,0.7,0.0
True,True,7,bulb,0.9615384615384616,0.7,0.0
True,True,7,bulb,0.9620253164556962,0.7,0.0
True,True,8,socket,0.9625,0.7,0.0
True,True,4,ball,0.9629629629629629,0.7,0.0
True,True,2,marker,0.9634146341463414,0.7,0.0
True,True,7,bulb,0.963855421686747,0.7,0.0
True,True,1,can,0.9642857142857143,0.7,0.0
True,True,4,ball,0.9647058823529412,0.7,0.0
True,True,6,phone,0.9651162790697675,0.7,0.0
True,True,6,phone,0.9655172413793104,0.7,0.0
True,True,9,remote,0.9659090909090909,0.7,0.0
True,True,8,socket,0.9662921348314607,0.7,0.0
True,True,5,mug,0.9666666666666667,0.7,0.0
